title,date,url,content,class
A reutilização de materiais descartados leva a declínio de resíduos.,,,A reutilização de materiais descartados leva a declínio de resíduos.,1
"A degradação ambiental resulta em contaminação dos serviços ecossistêmicos, afetando as economias locais.",,,"A degradação ambiental resulta em contaminação dos serviços ecossistêmicos, afetando as economias locais.",0
Festival de música prepara edição especial.,,,Festival de música prepara edição especial.,2
A reciclagem de resíduos sólidos leva a baixa de lixo urbano.,,,A reciclagem de resíduos sólidos leva a baixa de lixo urbano.,1
A falta de regulamentação ambiental levou a um aumento alarmante na poluição do ar.,,,A falta de regulamentação ambiental levou a um aumento alarmante na poluição do ar.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
Comunidades locais lideram com acréscimo em iniciativas de restauração ecológica.,,,Comunidades locais lideram com acréscimo em iniciativas de restauração ecológica.,1
"O desmatamento desloca povos indígenas, causando contaminação de seu patrimônio cultural.",,,"O desmatamento desloca povos indígenas, causando contaminação de seu patrimônio cultural.",0
Restaurante gourmet inaugura nova filial.,,,Restaurante gourmet inaugura nova filial.,2
Novo projeto de lei propõe melhoria na proteção de áreas verdes.,,,Novo projeto de lei propõe melhoria na proteção de áreas verdes.,1
O aumento das temperaturas está causando alta na frequência de ondas de calor.,,,O aumento das temperaturas está causando alta na frequência de ondas de calor.,0
Festival de música prepara edição especial.,,,Festival de música prepara edição especial.,2
Energia renovável representa aumento na matriz energética do país.,,,Energia renovável representa aumento na matriz energética do país.,1
Exploração de recursos naturais causa poluição em ecossistemas frágeis.,,,Exploração de recursos naturais causa poluição em ecossistemas frágeis.,0
Time de futebol conquista campeonato nacional.,,,Time de futebol conquista campeonato nacional.,2
Programa de reflorestamento alcança preservação de áreas degradadas.,,,Programa de reflorestamento alcança preservação de áreas degradadas.,1
"Apesar das regulamentações, a mineração ilegal continua a causar poluição nos ecossistemas fluviais.",,,"Apesar das regulamentações, a mineração ilegal continua a causar poluição nos ecossistemas fluviais.",0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Dados oficiais mostram declínio de 12% nas taxas de desmatamento na região amazônica.,,,Dados oficiais mostram declínio de 12% nas taxas de desmatamento na região amazônica.,1
A rápida urbanização está causando degradação em espaços verdes nas cidades.,,,A rápida urbanização está causando degradação em espaços verdes nas cidades.,0
Banda internacional anuncia turnê mundial.,,,Banda internacional anuncia turnê mundial.,2
A preservação de áreas costeiras resulta em proteção na proteção de ecossistemas marinhos.,,,A preservação de áreas costeiras resulta em proteção na proteção de ecossistemas marinhos.,1
"A degradação ambiental resulta em degradação dos serviços ecossistêmicos, afetando as economias locais.",,,"A degradação ambiental resulta em degradação dos serviços ecossistêmicos, afetando as economias locais.",0
Escritor renomado lança livro de memórias.,,,Escritor renomado lança livro de memórias.,2
A preservação de ecossistemas frágeis resulta em recuperação na proteção da fauna e flora.,,,A preservação de ecossistemas frágeis resulta em recuperação na proteção da fauna e flora.,1
Mudanças climáticas levam a alta de eventos climáticos extremos.,,,Mudanças climáticas levam a alta de eventos climáticos extremos.,0
Festival de música prepara edição especial.,,,Festival de música prepara edição especial.,2
Iniciativas verdes contribuem para declínio nas emissões de carbono.,,,Iniciativas verdes contribuem para declínio nas emissões de carbono.,1
O aumento das temperaturas está causando crescimento na frequência de ondas de calor.,,,O aumento das temperaturas está causando crescimento na frequência de ondas de calor.,0
Empresa de tecnologia desenvolve produto inovador.,,,Empresa de tecnologia desenvolve produto inovador.,2
A recuperação de rios poluídos promove melhoria na qualidade da água.,,,A recuperação de rios poluídos promove melhoria na qualidade da água.,1
A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,,,A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,0
Time de futebol contrata novo treinador.,,,Time de futebol contrata novo treinador.,2
Estratégias de monitoramento levam a baixa do desmatamento ilegal.,,,Estratégias de monitoramento levam a baixa do desmatamento ilegal.,1
Áreas urbanas relatam crescimento nos níveis de poluição do ar devido a emissões industriais.,,,Áreas urbanas relatam crescimento nos níveis de poluição do ar devido a emissões industriais.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
A recuperação de áreas degradadas leva a recuperação na qualidade do solo.,,,A recuperação de áreas degradadas leva a recuperação na qualidade do solo.,1
O desmatamento leva à contaminação de habitats naturais.,,,O desmatamento leva à contaminação de habitats naturais.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
Tecnologia inovadora contribui para recuperação na qualidade do ar.,,,Tecnologia inovadora contribui para recuperação na qualidade do ar.,1
"Sem ação imediata, enfrentamos acréscimo na perda de biodiversidade.",,,"Sem ação imediata, enfrentamos acréscimo na perda de biodiversidade.",0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
Programa de reflorestamento alcança proteção de áreas degradadas.,,,Programa de reflorestamento alcança proteção de áreas degradadas.,1
"As mudanças climáticas estão intensificando secas, levando a alta na escassez de água.",,,"As mudanças climáticas estão intensificando secas, levando a alta na escassez de água.",0
Time de futebol contrata novo treinador.,,,Time de futebol contrata novo treinador.,2
A preservação de áreas verdes urbanas resulta em proteção na qualidade de vida da população.,,,A preservação de áreas verdes urbanas resulta em proteção na qualidade de vida da população.,1
"As mudanças climáticas estão intensificando secas, levando a crescimento na escassez de água.",,,"As mudanças climáticas estão intensificando secas, levando a crescimento na escassez de água.",0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Iniciativa local promove preservação de habitats naturais.,,,Iniciativa local promove preservação de habitats naturais.,1
Novo relatório indica alta na emissão de gases poluentes.,,,Novo relatório indica alta na emissão de gases poluentes.,0
Competição internacional de esportes será realizada.,,,Competição internacional de esportes será realizada.,2
Comunidades locais lideram com acréscimo em iniciativas de restauração ecológica.,,,Comunidades locais lideram com acréscimo em iniciativas de restauração ecológica.,1
"Apesar das regulamentações, a mineração ilegal continua a causar degradação nos ecossistemas fluviais.",,,"Apesar das regulamentações, a mineração ilegal continua a causar degradação nos ecossistemas fluviais.",0
Novo modelo de smartphone é lançado no mercado.,,,Novo modelo de smartphone é lançado no mercado.,2
Amazônia registra declínio do desmatamento em relação ao ano passado.,,,Amazônia registra declínio do desmatamento em relação ao ano passado.,1
Exploração de recursos naturais causa devastação em ecossistemas frágeis.,,,Exploração de recursos naturais causa devastação em ecossistemas frágeis.,0
Celebridade lança linha de moda sustentável.,,,Celebridade lança linha de moda sustentável.,2
A preservação de áreas costeiras resulta em melhoria na proteção de ecossistemas marinhos.,,,A preservação de áreas costeiras resulta em melhoria na proteção de ecossistemas marinhos.,1
Incêndios florestais causam destruição em vasta área de mata nativa.,,,Incêndios florestais causam destruição em vasta área de mata nativa.,0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
Políticas de preservação promovem conservação na proteção da floresta.,,,Políticas de preservação promovem conservação na proteção da floresta.,1
Áreas urbanas relatam aumento nos níveis de poluição do ar devido a emissões industriais.,,,Áreas urbanas relatam aumento nos níveis de poluição do ar devido a emissões industriais.,0
O mercado de ações registrou uma alta histórica hoje.,,,O mercado de ações registrou uma alta histórica hoje.,2
Estratégias de monitoramento levam a queda do desmatamento ilegal.,,,Estratégias de monitoramento levam a queda do desmatamento ilegal.,1
"O desmatamento desloca povos indígenas, causando contaminação de seu patrimônio cultural.",,,"O desmatamento desloca povos indígenas, causando contaminação de seu patrimônio cultural.",0
Festival de música prepara edição especial.,,,Festival de música prepara edição especial.,2
Pesquisadores comemoram melhoria no sucesso de projetos de recuperação de fauna.,,,Pesquisadores comemoram melhoria no sucesso de projetos de recuperação de fauna.,1
A construção de barragens leva à degradação dos ecossistemas fluviais e ao deslocamento de comunidades.,,,A construção de barragens leva à degradação dos ecossistemas fluviais e ao deslocamento de comunidades.,0
Time de futebol conquista campeonato nacional.,,,Time de futebol conquista campeonato nacional.,2
Energia renovável impulsiona diminuição de emissões de carbono.,,,Energia renovável impulsiona diminuição de emissões de carbono.,1
Negligência corporativa no descarte de resíduos causa destruição em corpos d’água locais.,,,Negligência corporativa no descarte de resíduos causa destruição em corpos d’água locais.,0
Chef famoso inaugura restaurante de culinária contemporânea.,,,Chef famoso inaugura restaurante de culinária contemporânea.,2
A reciclagem de materiais plásticos leva a declínio da poluição.,,,A reciclagem de materiais plásticos leva a declínio da poluição.,1
"A contaminação dos oceanos por plásticos está em elevação constante, ameaçando a vida marinha.",,,"A contaminação dos oceanos por plásticos está em elevação constante, ameaçando a vida marinha.",0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
Campanha de conscientização resulta em declínio do uso de plásticos.,,,Campanha de conscientização resulta em declínio do uso de plásticos.,1
Exploração de recursos naturais causa degradação em ecossistemas frágeis.,,,Exploração de recursos naturais causa degradação em ecossistemas frágeis.,0
Universidade desenvolve pesquisa em inteligência artificial.,,,Universidade desenvolve pesquisa em inteligência artificial.,2
A reutilização de materiais descartados leva a queda de resíduos.,,,A reutilização de materiais descartados leva a queda de resíduos.,1
"Sem ação imediata, enfrentamos acréscimo na perda de biodiversidade.",,,"Sem ação imediata, enfrentamos acréscimo na perda de biodiversidade.",0
Celebridade lança linha de moda sustentável.,,,Celebridade lança linha de moda sustentável.,2
Número de espécies protegidas registra crescimento em áreas de preservação.,,,Número de espécies protegidas registra crescimento em áreas de preservação.,1
A falta de regulamentação ambiental levou a um alta alarmante na poluição do ar.,,,A falta de regulamentação ambiental levou a um alta alarmante na poluição do ar.,0
Banda internacional anuncia turnê mundial.,,,Banda internacional anuncia turnê mundial.,2
A conscientização pública sobre reciclagem levou a uma acréscimo notável no uso de materiais recicláveis.,,,A conscientização pública sobre reciclagem levou a uma acréscimo notável no uso de materiais recicláveis.,1
A rápida urbanização está causando devastação em espaços verdes nas cidades.,,,A rápida urbanização está causando devastação em espaços verdes nas cidades.,0
Banda internacional anuncia turnê mundial.,,,Banda internacional anuncia turnê mundial.,2
Iniciativas verdes contribuem para baixa nas emissões de carbono.,,,Iniciativas verdes contribuem para baixa nas emissões de carbono.,1
A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,,,A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,0
Time de futebol contrata novo treinador.,,,Time de futebol contrata novo treinador.,2
A reutilização de materiais descartados leva a queda de resíduos.,,,A reutilização de materiais descartados leva a queda de resíduos.,1
Rios em zonas industriais apresentam acréscimo na contaminação por resíduos químicos.,,,Rios em zonas industriais apresentam acréscimo na contaminação por resíduos químicos.,0
Nova tendência de moda toma conta das passarelas.,,,Nova tendência de moda toma conta das passarelas.,2
Políticas de preservação promovem preservação na proteção da floresta.,,,Políticas de preservação promovem preservação na proteção da floresta.,1
"As mudanças climáticas estão intensificando secas, levando a crescimento na escassez de água.",,,"As mudanças climáticas estão intensificando secas, levando a crescimento na escassez de água.",0
Celebridade lança linha de moda sustentável.,,,Celebridade lança linha de moda sustentável.,2
Iniciativa local promove preservação de habitats naturais.,,,Iniciativa local promove preservação de habitats naturais.,1
"Sem ação imediata, enfrentamos elevação na perda de biodiversidade.",,,"Sem ação imediata, enfrentamos elevação na perda de biodiversidade.",0
Competição internacional de esportes será realizada.,,,Competição internacional de esportes será realizada.,2
A preservação de florestas tropicais promove preservação na proteção de espécies ameaçadas.,,,A preservação de florestas tropicais promove preservação na proteção de espécies ameaçadas.,1
A Mata Atlântica registra aumento em atividades de extração ilegal de madeira.,,,A Mata Atlântica registra aumento em atividades de extração ilegal de madeira.,0
Novo modelo de smartphone é lançado no mercado.,,,Novo modelo de smartphone é lançado no mercado.,2
A reciclagem de materiais plásticos leva a diminuição da poluição.,,,A reciclagem de materiais plásticos leva a diminuição da poluição.,1
Amazônia registra alta do desmatamento em relação ao ano passado.,,,Amazônia registra alta do desmatamento em relação ao ano passado.,0
Empresa de tecnologia lança novo smartphone.,,,Empresa de tecnologia lança novo smartphone.,2
A reciclagem de resíduos sólidos leva a diminuição de lixo urbano.,,,A reciclagem de resíduos sólidos leva a diminuição de lixo urbano.,1
O uso de pesticidas na agricultura resulta em contaminação das populações de polinizadores.,,,O uso de pesticidas na agricultura resulta em contaminação das populações de polinizadores.,0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
A recuperação de áreas degradadas promove melhoria na qualidade do ar.,,,A recuperação de áreas degradadas promove melhoria na qualidade do ar.,1
O uso de pesticidas na agricultura resulta em poluição das populações de polinizadores.,,,O uso de pesticidas na agricultura resulta em poluição das populações de polinizadores.,0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
A reciclagem de materiais plásticos leva a diminuição da poluição.,,,A reciclagem de materiais plásticos leva a diminuição da poluição.,1
Rios em zonas industriais apresentam elevação na contaminação por resíduos químicos.,,,Rios em zonas industriais apresentam elevação na contaminação por resíduos químicos.,0
Competição internacional de esportes será realizada.,,,Competição internacional de esportes será realizada.,2
Unidades de conservação conseguem recuperação na prevenção do desmatamento.,,,Unidades de conservação conseguem recuperação na prevenção do desmatamento.,1
A sobrepesca está levando à devastação dos estoques de peixes nos oceanos.,,,A sobrepesca está levando à devastação dos estoques de peixes nos oceanos.,0
Time de futebol contrata novo treinador.,,,Time de futebol contrata novo treinador.,2
A recuperação de áreas degradadas leva a proteção na qualidade do solo.,,,A recuperação de áreas degradadas leva a proteção na qualidade do solo.,1
Financiamento insuficiente para programas ambientais resulta em degradação dos objetivos de conservação.,,,Financiamento insuficiente para programas ambientais resulta em degradação dos objetivos de conservação.,0
Chef famoso inaugura restaurante de culinária contemporânea.,,,Chef famoso inaugura restaurante de culinária contemporânea.,2
Pesquisadores comemoram proteção no sucesso de projetos de recuperação de fauna.,,,Pesquisadores comemoram proteção no sucesso de projetos de recuperação de fauna.,1
Amazônia registra aumento do desmatamento em relação ao ano passado.,,,Amazônia registra aumento do desmatamento em relação ao ano passado.,0
Empresa de tecnologia lança novo smartphone.,,,Empresa de tecnologia lança novo smartphone.,2
Políticas de preservação promovem proteção na proteção da floresta.,,,Políticas de preservação promovem proteção na proteção da floresta.,1
Mudanças climáticas levam a elevação de eventos climáticos extremos.,,,Mudanças climáticas levam a elevação de eventos climáticos extremos.,0
O mercado de ações registrou uma alta histórica hoje.,,,O mercado de ações registrou uma alta histórica hoje.,2
A recuperação de áreas degradadas promove proteção na qualidade do solo.,,,A recuperação de áreas degradadas promove proteção na qualidade do solo.,1
A poluição do ar nas cidades está ligada a elevação em doenças respiratórias.,,,A poluição do ar nas cidades está ligada a elevação em doenças respiratórias.,0
Empresa de tecnologia lança novo smartphone.,,,Empresa de tecnologia lança novo smartphone.,2
A reciclagem de materiais plásticos leva a redução da poluição.,,,A reciclagem de materiais plásticos leva a redução da poluição.,1
"As mudanças climáticas estão intensificando secas, levando a elevação na escassez de água.",,,"As mudanças climáticas estão intensificando secas, levando a elevação na escassez de água.",0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
A reciclagem de resíduos sólidos leva a redução de lixo urbano.,,,A reciclagem de resíduos sólidos leva a redução de lixo urbano.,1
Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,,,Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,0
Restaurante gourmet inaugura nova filial.,,,Restaurante gourmet inaugura nova filial.,2
Amazônia registra redução do desmatamento em relação ao ano passado.,,,Amazônia registra redução do desmatamento em relação ao ano passado.,1
Exploração de recursos naturais causa devastação em ecossistemas frágeis.,,,Exploração de recursos naturais causa devastação em ecossistemas frágeis.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
Unidades de conservação conseguem recuperação na prevenção do desmatamento.,,,Unidades de conservação conseguem recuperação na prevenção do desmatamento.,1
Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,,,Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,0
Empresa de games anuncia novo jogo eletrônico.,,,Empresa de games anuncia novo jogo eletrônico.,2
Iniciativa local promove conservação de habitats naturais.,,,Iniciativa local promove conservação de habitats naturais.,1
Negligência corporativa no descarte de resíduos causa poluição em corpos d’água locais.,,,Negligência corporativa no descarte de resíduos causa poluição em corpos d’água locais.,0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Tecnologia inovadora contribui para conservação na qualidade do ar.,,,Tecnologia inovadora contribui para conservação na qualidade do ar.,1
A construção de barragens leva à destruição dos ecossistemas fluviais e ao deslocamento de comunidades.,,,A construção de barragens leva à destruição dos ecossistemas fluviais e ao deslocamento de comunidades.,0
Chef famoso inaugura restaurante de culinária contemporânea.,,,Chef famoso inaugura restaurante de culinária contemporânea.,2
A preservação de ecossistemas frágeis resulta em preservação na proteção da fauna e flora.,,,A preservação de ecossistemas frágeis resulta em preservação na proteção da fauna e flora.,1
Novo relatório indica aumento na emissão de gases poluentes.,,,Novo relatório indica aumento na emissão de gases poluentes.,0
A nova série de TV está fazendo sucesso entre os jovens.,,,A nova série de TV está fazendo sucesso entre os jovens.,2
Campanha de conscientização resulta em diminuição do uso de plásticos.,,,Campanha de conscientização resulta em diminuição do uso de plásticos.,1
Novo relatório indica elevação na emissão de gases poluentes.,,,Novo relatório indica elevação na emissão de gases poluentes.,0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
A preservação de florestas tropicais promove recuperação na proteção de espécies ameaçadas.,,,A preservação de florestas tropicais promove recuperação na proteção de espécies ameaçadas.,1
Fontes de água contaminadas levam a aumento em doenças transmitidas pela água.,,,Fontes de água contaminadas levam a aumento em doenças transmitidas pela água.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
A reciclagem de resíduos sólidos leva a baixa de lixo urbano.,,,A reciclagem de resíduos sólidos leva a baixa de lixo urbano.,1
A poluição do ar nas cidades está ligada a aumento em doenças respiratórias.,,,A poluição do ar nas cidades está ligada a aumento em doenças respiratórias.,0
Escritor renomado lança livro de memórias.,,,Escritor renomado lança livro de memórias.,2
A conscientização pública sobre reciclagem levou a uma crescimento notável no uso de materiais recicláveis.,,,A conscientização pública sobre reciclagem levou a uma crescimento notável no uso de materiais recicláveis.,1
Amazônia registra alta do desmatamento em relação ao ano passado.,,,Amazônia registra alta do desmatamento em relação ao ano passado.,0
Empresa de tecnologia lança novo smartphone.,,,Empresa de tecnologia lança novo smartphone.,2
Programa de reflorestamento alcança conservação de áreas degradadas.,,,Programa de reflorestamento alcança conservação de áreas degradadas.,1
Exploração de recursos naturais causa contaminação em ecossistemas frágeis.,,,Exploração de recursos naturais causa contaminação em ecossistemas frágeis.,0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
Iniciativas verdes contribuem para queda nas emissões de carbono.,,,Iniciativas verdes contribuem para queda nas emissões de carbono.,1
"Eventos climáticos extremos estão se tornando mais frequentes, levando a poluição nas comunidades afetadas.",,,"Eventos climáticos extremos estão se tornando mais frequentes, levando a poluição nas comunidades afetadas.",0
Banda internacional anuncia turnê mundial.,,,Banda internacional anuncia turnê mundial.,2
Pesquisa revela declínio na emissão de gases do efeito estufa.,,,Pesquisa revela declínio na emissão de gases do efeito estufa.,1
Poluição de rios atinge contaminação crítico em várias cidades.,,,Poluição de rios atinge contaminação crítico em várias cidades.,0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
A reutilização de materiais descartados leva a queda de resíduos.,,,A reutilização de materiais descartados leva a queda de resíduos.,1
Desmatamento ilegal leva a contaminação de espécies endêmicas.,,,Desmatamento ilegal leva a contaminação de espécies endêmicas.,0
O mercado de ações registrou uma alta histórica hoje.,,,O mercado de ações registrou uma alta histórica hoje.,2
"A adoção de energias renováveis está em aumento constante, beneficiando o meio ambiente.",,,"A adoção de energias renováveis está em aumento constante, beneficiando o meio ambiente.",1
Vazamentos de petróleo causam destruição aos ecossistemas marinhos.,,,Vazamentos de petróleo causam destruição aos ecossistemas marinhos.,0
O mercado de ações registrou uma alta histórica hoje.,,,O mercado de ações registrou uma alta histórica hoje.,2
"Empresas adotam tecnologias limpas, resultando em declínio nas emissões industriais.",,,"Empresas adotam tecnologias limpas, resultando em declínio nas emissões industriais.",1
A falta de infraestrutura de gestão de resíduos resulta em acréscimo da poluição plástica nos oceanos.,,,A falta de infraestrutura de gestão de resíduos resulta em acréscimo da poluição plástica nos oceanos.,0
Ator famoso anuncia novo projeto cinematográfico.,,,Ator famoso anuncia novo projeto cinematográfico.,2
Tecnologias de recuperação ambiental resultam em preservação na regeneração de ecossistemas.,,,Tecnologias de recuperação ambiental resultam em preservação na regeneração de ecossistemas.,1
Fontes de água contaminadas levam a elevação em doenças transmitidas pela água.,,,Fontes de água contaminadas levam a elevação em doenças transmitidas pela água.,0
Competição internacional de esportes será realizada.,,,Competição internacional de esportes será realizada.,2
A reciclagem de resíduos sólidos leva a diminuição de lixo urbano.,,,A reciclagem de resíduos sólidos leva a diminuição de lixo urbano.,1
Esforços de conservação falhos levaram a devastação em áreas protegidas.,,,Esforços de conservação falhos levaram a devastação em áreas protegidas.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
Políticas de preservação promovem recuperação na proteção da floresta.,,,Políticas de preservação promovem recuperação na proteção da floresta.,1
Esforços de conservação falhos levaram a contaminação em áreas protegidas.,,,Esforços de conservação falhos levaram a contaminação em áreas protegidas.,0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Programas de conservação alcançam aumento na proteção de espécies ameaçadas.,,,Programas de conservação alcançam aumento na proteção de espécies ameaçadas.,1
"Apesar das regulamentações, a mineração ilegal continua a causar poluição nos ecossistemas fluviais.",,,"Apesar das regulamentações, a mineração ilegal continua a causar poluição nos ecossistemas fluviais.",0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
A reutilização de materiais descartados leva a redução de resíduos.,,,A reutilização de materiais descartados leva a redução de resíduos.,1
Desmatamento ilegal leva a contaminação de espécies endêmicas.,,,Desmatamento ilegal leva a contaminação de espécies endêmicas.,0
Startup lança aplicativo de compartilhamento de serviços.,,,Startup lança aplicativo de compartilhamento de serviços.,2
Energia renovável impulsiona queda de emissões de carbono.,,,Energia renovável impulsiona queda de emissões de carbono.,1
Novo relatório indica aumento na emissão de gases poluentes.,,,Novo relatório indica aumento na emissão de gases poluentes.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
Energia renovável impulsiona redução de emissões de carbono.,,,Energia renovável impulsiona redução de emissões de carbono.,1
"Apesar das regulamentações, a mineração ilegal continua a causar destruição nos ecossistemas fluviais.",,,"Apesar das regulamentações, a mineração ilegal continua a causar destruição nos ecossistemas fluviais.",0
A nova série de TV está fazendo sucesso entre os jovens.,,,A nova série de TV está fazendo sucesso entre os jovens.,2
A reciclagem de materiais plásticos leva a declínio da poluição.,,,A reciclagem de materiais plásticos leva a declínio da poluição.,1
Mudanças climáticas levam a acréscimo de eventos climáticos extremos.,,,Mudanças climáticas levam a acréscimo de eventos climáticos extremos.,0
Time de futebol conquista campeonato nacional.,,,Time de futebol conquista campeonato nacional.,2
Tecnologia inovadora contribui para conservação na qualidade do ar.,,,Tecnologia inovadora contribui para conservação na qualidade do ar.,1
O aumento das temperaturas está causando aumento na frequência de ondas de calor.,,,O aumento das temperaturas está causando aumento na frequência de ondas de calor.,0
Startup lança aplicativo de compartilhamento de serviços.,,,Startup lança aplicativo de compartilhamento de serviços.,2
A conscientização pública sobre reciclagem levou a uma crescimento notável no uso de materiais recicláveis.,,,A conscientização pública sobre reciclagem levou a uma crescimento notável no uso de materiais recicláveis.,1
A construção de barragens leva à devastação dos ecossistemas fluviais e ao deslocamento de comunidades.,,,A construção de barragens leva à devastação dos ecossistemas fluviais e ao deslocamento de comunidades.,0
Novo modelo de smartphone é lançado no mercado.,,,Novo modelo de smartphone é lançado no mercado.,2
A preservação de ecossistemas frágeis resulta em conservação na proteção da fauna e flora.,,,A preservação de ecossistemas frágeis resulta em conservação na proteção da fauna e flora.,1
O aquecimento global está causando crescimento nos níveis do mar.,,,O aquecimento global está causando crescimento nos níveis do mar.,0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
Programa de reflorestamento alcança preservação de áreas degradadas.,,,Programa de reflorestamento alcança preservação de áreas degradadas.,1
A construção de barragens leva à destruição dos ecossistemas fluviais e ao deslocamento de comunidades.,,,A construção de barragens leva à destruição dos ecossistemas fluviais e ao deslocamento de comunidades.,0
Restaurante gourmet inaugura nova filial.,,,Restaurante gourmet inaugura nova filial.,2
Dados oficiais mostram baixa de 12% nas taxas de desmatamento na região amazônica.,,,Dados oficiais mostram baixa de 12% nas taxas de desmatamento na região amazônica.,1
